EAN,NAME,BRAND,SIZE,SPECIALITY,ANIMAL,FORMAT (kg),www.amazon.fr (FR),www.bitiba.es (ES),www.bitiba.fr (FR),www.centrodenutricioncanina.com (ES),www.croquetteland.com (FR),www.kiwoko.com (ES),www.medicanimal.com (ES),www.medicanimal.com (FR),www.medicanimal.com (UK),www.miscota.es (ES),www.miscota.fr (FR),www.telepienso.es (ES),www.tiendanimal.es (ES),www.tiendanimal.fr (FR),www.zooplus.es (ES),www.zooplus.fr (FR),www.wanimo.fr (FR),www.bypets.com (ES)
649925481862,Acana Adult Dog 18 kg,Acana,MEDIUM,ADULT,DOG,18,http://www.amazon.fr/Acana-Adult-Dog-18-0-kg/dp/B00B5BPKB2,http://www.bitiba.es/shop/perros/pienso_perros/acana_pienso_perros/acana_classic_pienso_perros/372955,http://www.bitiba.fr/shop/chiens/croquettes/acana_croquettes_chien/acana_classic/341695,http://www.centrodenutricioncanina.com/perro/pienso/acana/adult-dog,,,,,,http://www.miscota.es/perros/acana/adult-dog,http://animaux.miscota.fr/chiens/acana/adult-dog,http://www.telepienso.com/products/acana-adult-dog,http://www.tiendanimal.es/acana-premium-adult-p-2165.html,http://www.tiendanimal.fr/acana-premium-adult-p-2165.html,http://www.zooplus.es/esearch.htm#q=Acana%20Adult%20Dog%2018%20kg,http://www.zooplus.fr/shop/chiens/croquettes_chien/acana_croquettes_chien/acana_classic/215074,http://www.wanimo.com/fr/chiens/alimentation-pour-chien-sc1/acana-adult-dog-sac-de-kg-sf7363/,http://www.bypets.com/acana-adult-dog.html
649925236882,Acana Adult Small Breed 6.8 kg,Acana,MINI,ADULT,DOG,6.8,http://www.amazon.fr/Acana-Adult-Small-Breed-6-8/dp/B007IALOSC,http://www.bitiba.es/shop/perros/pienso_perros/acana_pienso_perros/acana_classic_pienso_perros/394028,http://www.bitiba.fr/shop/chiens/croquettes/acana_croquettes_chien/acana_classic/387082,http://www.centrodenutricioncanina.com/perro/pienso/acana/adult-small-breed,http://www.croquetteland.com/acana-chien-adult-small-breed.html,http://www.kiwoko.com/acana-adult-small-breed-p-8800.html,,,,http://www.miscota.es/perros/acana/adult-small-breed,http://animaux.miscota.fr/chiens/acana/adulte-petites-races,http://www.telepienso.com/products/acana-adult-small-breed,http://www.tiendanimal.es/acana-adult-small-breed-razas-pequenas-p-2164.html,http://www.tiendanimal.fr/acana-adult-small-breed-petites-races-p-2164.html,http://www.zooplus.es/shop/tienda_perros/pienso_perros/acana/acana_cassics/382205,http://www.zooplus.fr/shop/chiens/croquettes_chien/acana_croquettes_chien/acana_classic/366462,http://www.wanimo.com/fr/chiens/alimentation-pour-chien-sc1/acana-adult-small-breed-sac-de-kg-lot-sf7361/,http://www.bypets.com/acana-adult-small-breed.html
649925401808,Acana Lamb & Apple 18 kg,Acana,CORDERO,ADULT,DOG,18,http://www.amazon.fr/Acana-Lamb-Apple-Nourriture-chien/dp/B004DJDCZO,http://www.bitiba.es/shop/perros/pienso_perros/acana_pienso_perros/acana_classic_pienso_perros/373030,http://www.bitiba.fr/shop/chiens/croquettes/acana_croquettes_chien/acana_classic/341696,http://www.centrodenutricioncanina.com/perro/pienso/acana/lamb-apple-formula,http://www.croquetteland.com/acana-chien-adult-lamb-okanagan-apple.html,http://www.kiwoko.com/acana-adult-cordero-manzana-p-8802.html,,,,http://www.miscota.es/perros/acana/adult-cordero-manzana,http://animaux.miscota.fr/chiens/acana/adult-agneau-pomme,http://www.telepienso.com/products/acana-lamb-okanagan-apple,http://www.tiendanimal.es/acana-cordero-manzana-holistico-p-2173.html,http://www.tiendanimal.fr/acana-pomme-agneau-holistique-p-2173.html,http://www.zooplus.es/shop/tienda_perros/pienso_perros/acana/acana_singles/215071,http://www.zooplus.fr/shop/chiens/croquettes_chien/acana_croquettes_chien/acana_classic/215073,,http://www.bypets.com/acana-lamb-apple.html
649925001848,Acana Puppy Junior 18 kg,Acana,MEDIUM,PUPPY,DOG,18,http://www.amazon.fr/Acana-Puppy-Junior-Nourriture-chiots/dp/B004DJFM7K,http://www.bitiba.es/shop/perros/pienso_perros/acana_pienso_perros/acana_puppy_junior/393998,http://www.bitiba.fr/shop/chiens/croquettes/acana_croquettes_chien/acana_classic_puppy_junior/387083,http://www.centrodenutricioncanina.com/perro/pienso/acana/puppy-junior,http://www.croquetteland.com/acana-chien-puppy-junior.html,http://www.kiwoko.com/acana-adult-cordero-manzana-p-8802.html,,,,http://www.miscota.es/perros/acana/puppy-and-junior,http://animaux.miscota.fr/chiens/acana/puppy-and-junior,http://www.telepienso.com/products/acana-puppy-junior,http://www.tiendanimal.es/acana-puppy-junior-p-4377.html,http://www.tiendanimal.fr/acana-puppy-junior-p-4377.html,http://www.zooplus.es/shop/tienda_perros/pienso_perros/acana/acana_cassics/330088,http://www.zooplus.fr/shop/chiens/croquettes_chien/acana_croquettes_chien/acana_classic_puppy_junior/314980,,http://www.bypets.com/acana-puppy-junior.html
649925011816,Acana Puppy Large 18 kg,Acana,MAXI,PUPPY,DOG,18,http://www.amazon.fr/Acana-Nourriture-chiots-Grande-taille/dp/B004DJ9P46,http://www.bitiba.es/shop/perros/pienso_perros/acana_pienso_perros/acana_puppy_junior/393996,http://www.bitiba.fr/shop/chiens/croquettes/acana_croquettes_chien/acana_classic_puppy_junior/387084,http://www.centrodenutricioncanina.com/perro/pienso/acana/puppy-large-breed,http://www.croquetteland.com/acana-chien-puppy-large-breed.html,http://www.kiwoko.com/acana-puppy-large-breed-p-8799.html,,,,http://www.miscota.es/perros/acana/puppy-large-breed,http://animaux.miscota.fr/chiens/acana/puppy-grandes-races,http://www.telepienso.com/products/acana-puppy-large-breed,http://www.tiendanimal.es/acana-puppy-large-breed-p-4378.html,http://www.tiendanimal.fr/acana-puppy-large-breed-p-4378.html,http://www.zooplus.es/shop/tienda_perros/pienso_perros/acana/acana_cassics/330176,http://www.zooplus.fr/shop/chiens/croquettes_chien/acana_croquettes_chien/acana_classic_puppy_junior/315030,,http://www.bypets.com/acana-puppy-large.html
8410650171586,ADVANCE LABRADOR 12,Advance,MAXI,BREED,DOG,12,http://www.amazon.fr/Affinity-AD959-Advance-Labrador-12/dp/B00AA9VMY4,,,http://www.centrodenutricioncanina.com/perro/pienso/affinity-advance/boxer-1,http://www.croquetteland.com/affinity-advance-chien-race-labrador.html,http://www.kiwoko.com/affinity-advance-labrador-p-8902.html,,,,http://www.miscota.es/perros/advance/labrador,http://animaux.miscota.fr/chiens/advance/advance-labrador,http://www.telepienso.com/products/advance-labrador,http://www.tiendanimal.es/advance-labrador-p-7444.html,http://www.tiendanimal.fr/advance-labrador-p-7444.html,,,http://www.wanimo.com/fr/chiens/alimentation-pour-chien-sc1/advance-races-labrador-retriever-sac-de-sf9885/,http://www.bypets.com/advance-labrador.html
8410650151946,ADVANCE ADULT CHICKEN & RICE 1.5,Advance,,ADULT,CAT,1.5,http://www.amazon.fr/Advance-Adult-Chicken-Croquettes-Poulet/dp/B00388OD1I,http://www.bitiba.es/shop/gatos/pienso/affinity_advance_pienso_gatos/advance_pienso_gatos/375089,http://www.bitiba.fr/shop/chats/croquettes/affinity_advance_croquettes_chat/croquettes_affinity_advance/340312,,http://www.croquetteland.com/affinity-advance-chat-adulte-poulet-et-riz.html,http://www.kiwoko.com/oferta-affinity-advance-adult-pollo-y-arroz-1-5kg.html,,,,,,http://www.telepienso.com/products/advance-adult-gato,http://www.tiendanimal.es/advance-feline-adult-pollo-arroz-p-5011.html,http://www.tiendanimal.fr/advance-feline-adult-poulet-p-5011.html,http://www.zooplus.es/shop/tienda_gatos/pienso_gatos/affinity_advance/278528,http://www.zooplus.fr/shop/chats/croquettes_chat/affinity_advance_croquettes_chat/277979,,http://www.bypets.com/advance-cat-adult-pollo-arroz.html
8410650151618,ADVANCE ADULT CHICKEN & RICE 15,Advance,,ADULT,CAT,15,http://www.amazon.fr/Affinity-ADVANCE-Adult-Croquettes-Poulet/dp/B00388RC8Y,http://www.bitiba.es/shop/gatos/pienso/affinity_advance_pienso_gatos/advance_pienso_gatos/375089,http://www.bitiba.fr/shop/chats/croquettes/affinity_advance_croquettes_chat/croquettes_affinity_advance/340312,,http://www.croquetteland.com/affinity-advance-chat-adulte-poulet-et-riz.html,http://www.kiwoko.com/affinity-advance-adult-pollo-y-arroz.html,,,,http://www.miscota.es/gatos/advance/adult-pollo-arroz,http://animaux.miscota.fr/chats/advance/adulte-poulet-et-riz,http://www.telepienso.com/products/advance-adult-gato,http://www.tiendanimal.es/advance-feline-adult-pollo-arroz-p-5011.html,http://www.tiendanimal.fr/advance-feline-adult-poulet-p-5011.html,http://www.zooplus.es/shop/tienda_gatos/pienso_gatos/affinity_advance/278528,http://www.zooplus.fr/shop/chats/croquettes_chat/affinity_advance_croquettes_chat/277979,http://www.wanimo.com/fr/chats/alimentation-pour-chat-sc6/advance-chat-adult-poulet-amp-riz-kg-sf4983/,http://www.bypets.com/advance-cat-adult-pollo-arroz.html
8410650151595,ADVANCE ADULT CHICKEN & RICE 3,Advance,,ADULT,CAT,3,http://www.amazon.fr/Advance-Adult-Chicken-Croquettes-Poulet/dp/B00388PDKI,http://www.bitiba.es/shop/gatos/pienso/affinity_advance_pienso_gatos/advance_pienso_gatos/375089,http://www.bitiba.fr/shop/chats/croquettes/affinity_advance_croquettes_chat/croquettes_affinity_advance/340312,,http://www.croquetteland.com/affinity-advance-chat-adulte-poulet-et-riz.html,http://www.kiwoko.com/affinity-advance-adult-pollo-y-arroz.html,,,,http://www.miscota.es/gatos/advance/adult-pollo-arroz,http://animaux.miscota.fr/chats/advance/adulte-poulet-et-riz,http://www.telepienso.com/products/advance-adult-gato,http://www.tiendanimal.es/advance-feline-adult-pollo-arroz-p-5011.html,http://www.tiendanimal.fr/advance-feline-adult-poulet-p-5011.html,http://www.zooplus.es/shop/tienda_gatos/pienso_gatos/affinity_advance/278528,http://www.zooplus.fr/shop/chats/croquettes_chat/affinity_advance_croquettes_chat/277979,http://www.wanimo.com/fr/chats/alimentation-pour-chat-sc6/advance-chat-adult-poulet-amp-riz-kg-sf4983/,http://www.bypets.com/advance-cat-adult-pollo-arroz.html
8410650152004,ADVANCE ADULT SALMON & RICE 1.5,Advance,,SALMON,CAT,1.5,http://www.amazon.fr/Advance-Adult-Salmon-Croquettes-Saumon/dp/B00388MVQW,,,,,http://www.kiwoko.com/oferta-affinity-advance-adult-salmon-y-arroz-1-5kg.html,,,,http://www.miscota.es/gatos/advance/adult-salmon-arroz,http://animaux.miscota.fr/chats/advance/adulte-saumon-et-riz,http://www.telepienso.com/products/advance-adult-gato-salmon-rice,http://www.tiendanimal.es/advance-feline-adult-salmon-arroz-p-151.html,http://www.tiendanimal.fr/advance-feline-adult-saumon-p-151.html,,,,http://www.bypets.com/advance-cat-adult-salmon-arroz.html
